SiO2,P2O5,ZrO2,Na2O,Al2O3,Fe2O3,CaO,MgO,K2O,B2O3,BaO,ZnO,Li2O,SrO,La2O3,TiO2,Nb2O5,PbO,Sb2O3,Bi2O3,TeO2,Se,Tg,density
0.6659999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1669999999999999,0.1669999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.15,2.494999885559082
0.6559999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.15,2.496000051498413
0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.15,2.496999979019165
0.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.15,2.497999906539917
0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.15,2.500999927520752
0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.15,2.500999927520752
0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.15,2.490999937057495
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.15,2.490000009536743
0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.15,2.486999988555908
0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.15,2.4679999351501465
0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.15,2.489000082015991
